asmith1705,43.68065997,-79.61285591
sashmanley,36.1658899,-86.7844432
EricaGrieder,30.267153,-97.7430608
cj55555,44.5002368,-90.0004077
jeanmarh20,40.7281575,-74.0776417
BBCNewsnight,51.50852878,-0.125741959
veeaa_,34.0522342,-118.2436849
minter01,35.2270869,-80.8431268
JennLi123,37.8043722,-122.2708026
saghaulor,37.7057657,-122.4619166
TarsiDunlop,38.8951118,-77.0363658
KathieKatKate,43.038668,-78.8642034
ROGERGB,31.8456816,-102.3676431
kikster223,44.9799654,-93.2638361
dwibbs13,-45.6666667,168
RicciQueens,51.50852878,-0.125741959
katedailey,38.8951118,-77.0363658
lilkatmar,42.6525793,-73.7562317
O2BME1,31.759782,-83.220459
Caesar_X,37.7749295,-122.4194155
unit_seven,37.2331008,-86.8283254
bloodygranuaile,42.3584308,-71.0597732
jk47thezealot,44,-71
ItsGtotheE,30.69304,-88.04082
D_CEO_,51.50852878,-0.125741959
akugna,-33.45693774,-70.64826965
Liam_Brant5,50.79899141,-1.091251373
ArcticWildWolf,-67.5693425,-68.12697088
bigjon_23,51.48169693,-0.190919638
FoxNewsInsider,40.7142691,-74.0059729
GlitterFemme,38.8951118,-77.0363658
sharonLeMaster,-14.60484716,-57.65625
informador_INT,20.666823,-103.391824
_oxynh_,37.2295733,-80.4139393
mk_patter,43.70011379,-79.41630419
TaylorKTSW,29.8832749,-97.9413941
HairBell,53.40978767,-2.157611847
InSouthFlorida,28.7505408,-82.5000976
anonivoice,29.4711509,-98.5703817
pulpetc,38.4357453,-122.7144315
TheBelleReport,-36.7333333,174.75
EmilyTayWilson,45.487062,-122.8037102
EwokAbby,40.0003166,-86.2502707
HazamaYakiba,26.7153425,-80.0533746
chevyman8291,42.1292241,-80.085059
CharlesAllenW6,38.8951118,-77.0363658
Mohammad_Syria,38.8951118,-77.0363658
puckett101,-32.10063,133.5768
ee61star,29.9546482,-90.075072
sexgeekAZ,43.70011379,-79.41630419
princessroyalt,18.3807819,-65.9573872
__Allen__D,-29.8152,149.5679
Vashauna,-14.60484716,-57.65625
BuffaloBill71,29.5310744,-96.0710696
CortezTheRican,18.4663338,-66.1057217
HennyPrez,42.331427,-83.0457538
Kahjahkins,18.1333333,-76.5333333
clareelizabet11,45.938179,8.858131
amber0kristine,41.1306041,-85.1288597
NorthWestZA,-26.5,26
AWorldOutOfMind,-14.60484716,-57.65625
necoox_,29.9546482,-90.075072
fazetti51,41.850033,-87.6500523
Tru_Star_,33.7489954,-84.3879824
Racheka1,38.8951118,-77.0363658
cmbsweden,62,15
JessiiiBee,51.4048,59.1442
JakeBaldwin95,52.62782732,1.298339367
vclafleur,30.12595,-92.00939
GlobalPost,17.98837,-16.0294
local_maxima,16.01793096,-16.48962021
richardmachuca,32.735687,-97.1080656
mryouweakashell,41.850033,-87.6500523
dhades25,-14.60484716,-57.65625
vgoodw1,38.8951118,-77.0363658
fireplug2005,34.7540524,-77.4302415
kylehuckins,-14.60484716,-57.65625
Kubankid21,30.0860459,-94.1018461
G_for_Gemma,51.50852878,-0.125741959
KevinKnocke,40.7142691,-74.0059729
harunbasatt,41.01384296,28.94966125
suraya_asmal,-29,24
slcmamaz,40.7716126,-111.9291042
_torilovely,36.9741171,-122.0307963
enoreikaTV,41.4994954,-81.6954088
NicoleBarbieri3,47.4166667,107.9166667
imjustaliciaa,36.8252277,-119.7029194
satsukitv,42.6525793,-73.7562317
DiHuang,34.0522342,-118.2436849
FOX2now,38.6272733,-90.1978889
JJusseroKIRO7,47.6062095,-122.3320708
DickandSharon,34.0522342,-118.2436849
coolmcjazz,42.3875968,-71.0994968
TsunamiWav3,36.057105,-115.238234
bilalfarooqui,37.7749295,-122.4194155
danggjon,42.3584308,-71.0597732
BethanyHaas,40.7142691,-74.0059729
NewsScooter,39.7391536,-104.9847034
huMacFl,26.6836769,-80.27977
testarling,-3.801,29.5229
IonBraun,-71.84876953,-68.26217572
adrianaruggiero,32.71571,-117.16472
LadyCasa305,34.0983425,-118.3267434
aaronblackmon,44.1967162,12.4080752
austin_ron,33.7489954,-84.3879824
lanaynay12,45.5234515,-122.6762071
racheeeelxo,55.86514972,-4.257631302
GGandthediamond,51.15609295,-0.178184509
KeoshaisMe,17.64299961,-63.22649002
LisaBloom,34.0522342,-118.2436849
Dricki_minaj,39.952335,-75.163789
GregoryMeeks,29.9546482,-90.075072
dzdork,39.000388,-76.749969
jeyandiniCNN,40.7142691,-74.0059729
amourcarthy,34.0231553,-84.3615928
jonswaine,40.7142691,-74.0059729
hanerstagram,40.7142691,-74.0059729
speks_,29.7110641,-95.5963337
AlbertaGrl,45.01904,8.41415
Blnt_Arsln,41.06929,28.69149
akittell,44.5002368,-90.0004077
